rock_type,RHO,SD_RHO,Vp,SD_Vp,Vs,SD_Vs,TC,SD_TC,HP,SD_HP
granite,2660,32.9,6.17,0.067,3.72,0.0178,2.78,0.138,3.42,5.04
granodiorite,2720,35.3,6.4,0.0877,3.76,0.0303,2.61,0.128,1.74,2.93
diorite,2790,38.4,6.65,0.104,3.84,0.042,2.47,0.126,1.18,2.22
gabbroic diorite,2900,53.3,6.95,0.158,3.94,0.0809,2.45,0.203,0.659,1.5
subalkalic gabbro,2950,46.4,7.14,0.149,3.99,0.0695,2.41,0.168,0.34,0.727
syenite,2660,47.3,6.35,0.104,3.77,0.0426,2.26,0.128,5.23,37.7
monzonite,2760,35.6,6.62,0.108,3.84,0.0552,2.32,0.14,2.4,9.72
monzodiorite,2840,36,6.82,0.117,3.91,0.0691,2.25,0.141,1.4,2.1
monzogabbro,2900,35,6.96,0.126,3.96,0.0634,2.18,0.164,1.01,2.61
alkalic gabbro,2950,43.1,7.06,0.125,3.99,0.0657,2.23,0.174,0.486,0.652
mantle peridotite,3320,32.6,8.13,0.0855,4.8,0.0635,2.98,0.0748,0.145,2
mantle pyroxenite,3180,81.7,7.77,0.154,4.47,0.146,2.85,0.286,0.14,0.223