An,T,k,
0.0000000e+00,3.1009830e+02,2.2015000e+00,
0.0000000e+00,3.1054040e+02,2.3199000e+00,
0.0000000e+00,3.3220220e+02,2.2113000e+00,
0.0000000e+00,3.3573890e+02,2.4087000e+00,
0.0000000e+00,3.8304120e+02,2.0978000e+00,
0.0000000e+00,3.8304120e+02,2.3544000e+00,
0.0000000e+00,4.5509990e+02,2.6258000e+00,
0.0000000e+00,4.5952070e+02,2.3939000e+00,
0.0000000e+00,5.0947550e+02,2.2261000e+00,
0.0000000e+00,6.2087920e+02,2.5863000e+00,
0.0000000e+00,6.3060490e+02,2.4235000e+00,
1.0000000e+00,3.0700380e+02,1.9646000e+00,
1.0000000e+00,3.5740070e+02,2.1521000e+00,
1.0000000e+00,4.1884950e+02,2.4038000e+00,
1.0000000e+00,5.2715860e+02,2.3643000e+00,
1.0000000e+00,6.1955290e+02,2.3988000e+00,
1.0000000e+00,6.4696180e+02,2.4235000e+00,
1.0000000e+00,5.1389630e+02,2.1373000e+00,
2.0000000e-01,2.9860430e+02,1.8857000e+00,
2.0000000e-01,3.0567760e+02,1.6439000e+00,
2.0000000e-01,3.5607440e+02,1.7968000e+00,
2.0000000e-01,4.0558720e+02,1.8462000e+00,
2.0000000e-01,4.1619710e+02,2.0436000e+00,
2.0000000e-01,5.1478050e+02,1.9597000e+00,
2.0000000e-01,5.2141160e+02,2.1472000e+00,
2.0000000e-01,6.1071140e+02,2.3791000e+00,
2.0000000e-01,6.3104700e+02,2.2903000e+00,
2.0000000e-01,5.7843970e+02,1.8955000e+00,
5.5000000e-01,3.0788790e+02,1.5452000e+00,
5.5000000e-01,3.1451910e+02,1.5847000e+00,
5.5000000e-01,3.1938200e+02,1.4958000e+00,
5.5000000e-01,3.4502250e+02,1.3972000e+00,
5.5000000e-01,3.4723290e+02,1.5156000e+00,
5.5000000e-01,3.5784280e+02,1.6587000e+00,
5.5000000e-01,3.9055650e+02,1.6488000e+00,
5.5000000e-01,3.9365110e+02,1.6439000e+00,
5.5000000e-01,4.0249260e+02,1.7574000e+00,
5.5000000e-01,5.0682310e+02,1.9843000e+00,
5.5000000e-01,5.3953680e+02,1.7130000e+00,
5.5000000e-01,6.0010150e+02,1.9399000e+00,
5.5000000e-01,6.1911090e+02,1.7031000e+00,
5.5000000e-01,7.0531610e+02,1.8857000e+00,
0.0000000e+00,2.9800000e+02,2.2800000e+00,
5.0000000e-03,2.9800000e+02,2.3000000e+00,
1.0000000e-02,2.9800000e+02,2.2000000e+00,
8.5000000e-02,2.9800000e+02,1.9700000e+00,
1.0000000e-01,2.9800000e+02,1.9500000e+00,
1.1500000e-01,2.9800000e+02,2.0000000e+00,
1.2000000e-01,2.9800000e+02,1.9700000e+00,
1.5000000e-01,2.9800000e+02,1.8500000e+00,
2.5000000e-01,2.9800000e+02,1.7100000e+00,
5.0000000e-01,2.9800000e+02,1.5800000e+00,
5.5000000e-01,2.9800000e+02,1.5600000e+00,
5.7000000e-01,2.9800000e+02,1.6500000e+00,
6.5000000e-01,2.9800000e+02,1.6700000e+00,
7.0000000e-01,2.9800000e+02,1.6400000e+00,
7.8000000e-01,2.9800000e+02,1.6700000e+00,
8.0000000e-01,2.9800000e+02,1.8100000e+00,
1.0000000e+00,2.9800000e+02,2.0100000e+00,
1.0000000e+00,2.9800000e+02,1.8600000e+00,